WORT,WORTART,NOMEN,VERB_ADJEKTIV,VA INTERPUNKTION
aal,N,0,0,0
aas,N,0,0,0
abart,N,0,0,0
abbau,N,2,0,0
abbauen,V,0,0,0
abbild,N,0,0,0
abbruch,N,0,0,0
abdanken,V,0,0,0
abdruck,N,0,0,0
abend,N,0,0,0
abendrot,N,0,0,0
abends,A,0,0,0
abfahrt,N,0,0,0
abfall,N,0,0,0
abflug,N,0,0,0
abfuhr,N,0,0,0
abgang,N,0,0,0
abgas,N,0,0,0
abgeben,V,0,0,0
abgrund,N,0,0,0
abhang,N,0,0,0
abhauen,V,0,0,0
abhilfe,N,0,0,0
abitur,N,0,0,0
abkehr,N,0,0,0
ablauf,N,0,0,0
ableger,N,0,0,0
ablehnen,V,0,0,0
abmagern,V,0,0,0
abort,N,0,0,0
abreise,N,0,0,0
absage,N,1,0,0
absatz,N,0,0,0
abscheu,N,0,0,0
abschied,N,0,0,0
abseits,A,0,0,0
absender,N,0,0,0
absicht,N,0,0,0
abstand,N,0,0,0
abstieg,N,0,0,0
absturz,N,0,0,0
absurd,A,0,0,0
abt,N,0,0,0
abtei,N,0,0,0
abteil,N,0,0,0
abwasser,N,0,0,0
abweg,N,0,0,0
abwehr,N,0,0,0
abwurf,N,0,0,0
abzug,N,0,0,0
achse,N,0,0,0
achsel,N,0,0,0
achten,V,0,0,0
achtung,N,0,0,0
adel,N,0,0,0
adeln,V,0,0,0
adjutant,N,0,0,0
adler,N,0,0,0
adoption,N,0,0,0
adressat,N,0,0,0
adria,N,0,0,0
advent,N,0,0,0
affe,N,0,0,0
affekt,N,0,0,0
agent,N,0,0,0
aggression,N,0,0,0
agil,A,0,0,0
ahnen,V,0,0,0
ahnung,N,0,0,0
ahorn,N,0,0,0
akademie,N,0,0,0
akribie,N,0,0,0
aktie,N,1,0,0
aktion,N,0,0,0
aktiv,A,0,0,0
aktivität,N,0,0,0
akzent,N,0,0,0
alarm,N,0,0,0
albern,A,0,0,0
album,N,0,0,0
alkohol,N,0,0,0
allee,N,0,0,0
allein,A,0,1,1
alltag,N,0,0,0
almosen,N,0,0,0
alpdruck,N,0,0,0
